"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","LREM64FE","Employment rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2019","2019","PC","Percentage","0","Units",,,69.97153,,
"AUS","Australia","LREM64FE","Employment rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2020","2020","PC","Percentage","0","Units",,,68.56551,,
"AUS","Australia","LREM64FE","Employment rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2021","2021","PC","Percentage","0","Units",,,71.13477,,
"AUS","Australia","LREM64FE","Employment rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2022","2022","PC","Percentage","0","Units",,,73.81777,,
"AUS","Australia","LREM64FE","Employment rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2023","2023","PC","Percentage","0","Units",,,74.13443,,
"AUS","Australia","LREM64MA","Employment rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","A","Annual","2019","2019","PC","Percentage","0","Units",,,78.69668,,
"AUS","Australia","LREM64MA","Employment rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","A","Annual","2020","2020","PC","Percentage","0","Units",,,76.83199,,
"AUS","Australia","LREM64MA","Employment rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","A","Annual","2021","2021","PC","Percentage","0","Units",,,78.76196,,
"AUS","Australia","LREM64MA","Employment rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","A","Annual","2022","2022","PC","Percentage","0","Units",,,80.73112,,
"AUS","Australia","LREM64MA","Employment rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","A","Annual","2023","2023","PC","Percentage","0","Units",,,80.98431,,
"AUS","Australia","LREM64TT","Employment rate, Aged 15-64, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","2019","2019","PC","Percentage","0","Units",,,74.30875,,
"AUS","Australia","LREM64TT","Employment rate, Aged 15-64, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","2020","2020","PC","Percentage","0","Units",,,72.67477,,
"AUS","Australia","LREM64TT","Employment rate, Aged 15-64, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","2021","2021","PC","Percentage","0","Units",,,74.92894,,
"AUS","Australia","LREM64TT","Employment rate, Aged 15-64, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","2022","2022","PC","Percentage","0","Units",,,77.25888,,
"AUS","Australia","LREM64TT","Employment rate, Aged 15-64, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","2023","2023","PC","Percentage","0","Units",,,77.5479,,
"AUT","Austria","LREM64FE","Employment rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2019","2019","PC","Percentage","0","Units",,,69.15,,
"AUT","Austria","LREM64FE","Employment rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2020","2020","PC","Percentage","0","Units",,,67.425,,
"AUT","Austria","LREM64FE","Employment rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2021","2021","PC","Percentage","0","Units",,,68.125,,
"AUT","Austria","LREM64FE","Employment rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2022","2022","PC","Percentage","0","Units",,,70,,
"AUT","Austria","LREM64MA","Employment rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","A","Annual","2019","2019","PC","Percentage","0","Units",,,77.95,,
"AUT","Austria","LREM64MA","Employment rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","A","Annual","2020","2020","PC","Percentage","0","Units",,,76.05,,
"AUT","Austria","LREM64MA","Employment rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","A","Annual","2021","2021","PC","Percentage","0","Units",,,76.65,,
"AUT","Austria","LREM64MA","Employment rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","A","Annual","2022","2022","PC","Percentage","0","Units",,,78.025,,
"AUT","Austria","LREM64TT","Employment rate, Aged 15-64, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","2019","2019","PC","Percentage","0","Units",,,73.525,,
"AUT","Austria","LREM64TT","Employment rate, Aged 15-64, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","2020","2020","PC","Percentage","0","Units",,,71.725,,
"AUT","Austria","LREM64TT","Employment rate, Aged 15-64, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","2021","2021","PC","Percentage","0","Units",,,72.4,,
"AUT","Austria","LREM64TT","Employment rate, Aged 15-64, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","2022","2022","PC","Percentage","0","Units",,,74.025,,
"BEL","Belgium","LREM64FE","Employment rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2019","2019","PC","Percentage","0","Units",,,61.675,,
"BEL","Belgium","LREM64FE","Employment rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2020","2020","PC","Percentage","0","Units",,,60.825,,
"BEL","Belgium","LREM64FE","Employment rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2021","2021","PC","Percentage","0","Units",,,61.8,,
"BEL","Belgium","LREM64FE","Employment rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2022","2022","PC","Percentage","0","Units",,,63.225,,
"BEL","Belgium","LREM64MA","Employment rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","A","Annual","2019","2019","PC","Percentage","0","Units",,,68.85,,
"BEL","Belgium","LREM64MA","Employment rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","A","Annual","2020","2020","PC","Percentage","0","Units",,,68.05,,
"BEL","Belgium","LREM64MA","Employment rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","A","Annual","2021","2021","PC","Percentage","0","Units",,,68.75,,
"BEL","Belgium","LREM64MA","Employment rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","A","Annual","2022","2022","PC","Percentage","0","Units",,,69.8,,
"BEL","Belgium","LREM64TT","Employment rate, Aged 15-64, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","2019","2019","PC","Percentage","0","Units",,,65.3,,
"BEL","Belgium","LREM64TT","Employment rate, Aged 15-64, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","2020","2020","PC","Percentage","0","Units",,,64.45,,
"BEL","Belgium","LREM64TT","Employment rate, Aged 15-64, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","2021","2021","PC","Percentage","0","Units",,,65.3,,
"BEL","Belgium","LREM64TT","Employment rate, Aged 15-64, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","2022","2022","PC","Percentage","0","Units",,,66.525,,
"CAN","Canada","LREM64FE","Employment rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2019","2019","PC","Percentage","0","Units",,,71.68333,,
"CAN","Canada","LREM64FE","Employment rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2020","2020","PC","Percentage","0","Units",,,66.91666,,
"CAN","Canada","LREM64FE","Employment rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2021","2021","PC","Percentage","0","Units",,,70.46667,,
"CAN","Canada","LREM64FE","Employment rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2022","2022","PC","Percentage","0","Units",,,72.79166,,
"CAN","Canada","LREM64FE","Employment rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2023","2023","PC","Percentage","0","Units",,,73.05,,
"CAN","Canada","LREM64MA","Employment rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","A","Annual","2019","2019","PC","Percentage","0","Units",,,77.54166,,
"CAN","Canada","LREM64MA","Employment rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","A","Annual","2020","2020","PC","Percentage","0","Units",,,73.26667,,
"CAN","Canada","LREM64MA","Employment rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","A","Annual","2021","2021","PC","Percentage","0","Units",,,76.48333,,
"CAN","Canada","LREM64MA","Employment rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","A","Annual","2022","2022","PC","Percentage","0","Units",,,78.4,,
"CAN","Canada","LREM64MA","Employment rate, Aged 15-64, Males","STSA","Level, rate or quantity series, s.a.","A","Annual","2023","2023","PC","Percentage","0","Units",,,78.54166,,
"CAN","Canada","LREM64TT","Employment rate, Aged 15-64, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","2019","2019","PC","Percentage","0","Units",,,74.6,,
"CAN","Canada","LREM64TT","Employment rate, Aged 15-64, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","2020","2020","PC","Percentage","0","Units",,,70.125,,
"CAN","Canada","LREM64TT","Employment rate, Aged 15-64, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","2021","2021","PC","Percentage","0","Units",,,73.475,,
"CAN","Canada","LREM64TT","Employment rate, Aged 15-64, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","2022","2022","PC","Percentage","0","Units",,,75.58334,,
"CAN","Canada","LREM64TT","Employment rate, Aged 15-64, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","2023","2023","PC","Percentage","0","Units",,,75.79166,,
"CZE","Czechia","LREM64FE","Employment rate, Aged 15-64, Females","STSA","Level, rate or quantity series, s.a.","A","Annual","2019","2019","PC","Percentage","0","Units",,,68.075,,
