"","coded_country","Political_score","Average_vaccinated","gdp_per_person","Ladder_score","Average_deaths_per_week","Average_labour_rate"
"1","Aruba",1.23643040657043,124.274929577465,35973.781,NA,NA,NA
"2","Andorra",1.49892425537109,55.1202777777778,NA,NA,NA,NA
"3","Afghanistan",-1.47410047054291,2.45,1803.987,2.5229001045227,NA,NA
"4","Angola",-1.19323122501373,10.1296,5819.495,NA,NA,NA
"5","Anguilla",1.49892425537109,88.2329411764706,NA,NA,NA,NA
"6","Albania",-0.202177077531815,37.3110572687225,11803.431,5.11740016937256,NA,NA
"7","Netherlands Antilles (former)",0.735755622386932,NA,NA,NA,NA,NA
"8","United Arab Emirates",1.07076179981232,141.25845659164,67293.483,6.5605001449585,NA,NA
"9","Argentina",-0.0723610669374466,64.7550136986301,18933.907,5.92929983139038,NA,NA
"10","Armenia",-0.11502830684185,17.5860606060606,8787.58,5.28259992599487,NA,NA
"11","American Samoa",0.481366097927094,NA,NA,NA,NA,NA
"12","Antigua and Barbuda",0.481366097927094,76.0784146341463,21490.943,NA,NA,NA
"13","Australia",1.69013810157776,62.989035369775,44648.71,7.18349981307983,372.014777327936,74.94189
"14","Austria",1.60288524627686,82.8451923076923,45436.686,7.26779985427856,205.882489878542,72.3916666666667
"15","Azerbaijan",-0.772403717041016,54.3751879699248,15847.419,5.17080020904541,NA,NA
"16","Burundi",-1.08492064476013,0.0157142857142857,702.225,3.77530002593994,NA,NA
"17","Belgium",1.72347581386566,86.9755068493151,42658.576,6.83400011062622,236.808147773279,65.2833333333333
"18","Benin",-0.547139346599579,3.17454545454545,2064.236,5.04519987106323,NA,NA
"19","Burkina Faso",-0.568243741989136,1.19764705882353,1703.102,4.83379983901978,NA,NA
"20","Bangladesh",-0.772120714187622,16.5066504854369,3523.984,5.0246000289917,NA,NA
"21","Bulgaria",-0.0711113885045052,24.2492463768116,18563.307,5.26550006866455,NA,NA
"22","Bahrain",0.495083898305893,137.896261980831,43290.705,6.64690017700195,NA,NA
"23","Bahamas, The",0.97444885969162,NA,NA,NA,NA,NA
"24","Bosnia and Herzegovina",-0.736359298229217,18.9221052631579,11713.895,5.81309986114502,NA,NA
"25","Belarus",-1.19257616996765,32.03625,17167.967,5.53350019454956,NA,NA
"26","Belize",-0.248732417821884,35.7890909090909,7824.362,NA,NA,NA
"27","Bermuda",0.990145206451416,94.9412,50669.315,NA,NA,NA
"28","Bolivia",-0.46942475438118,34.4496202531646,6885.829,5.71589994430542,NA,NA
"29","Brazil",-0.152404069900513,63.6812138728324,14103.452,6.33010005950928,NA,NA
"30","Barbados",1.46513664722443,62.8989225589225,16978.068,NA,NA,NA
"31","Brunei Darussalam",0.891406118869782,NA,NA,NA,NA,NA
"32","Bhutan",0.691294491291046,82.3820618556701,8708.597,NA,NA,NA
"33","South Sudan",-1.58625066280365,0.796315789473684,1569.888,NA,NA,NA
"34","Botswana",0.411628901958466,12.2429166666667,15807.374,3.46650004386902,NA,NA
"35","Central African Republic",-1.31311178207397,3.103,661.24,NA,NA,NA
"36","Canada",1.77254545688629,86.6768767123287,44017.591,7.10330009460449,713.935425101221,73.475
"37","Switzerland",1.86164331436157,74.1923561643836,57410.166,7.57149982452393,154.329959514169,79.2333333333333
"38","Chile",1.15227234363556,113.891323943662,22767.037,6.17189979553223,361.248836032388,58.47009
"39","China",0.0836087092757225,104.621084745763,15308.712,5.3390998840332,NA,NA
"40","Côte d'Ivoire",-1.18075549602509,NA,NA,NA,NA,NA
"41","Cameroon",-0.894476115703583,1.37897959183673,3364.926,5.14179992675781,NA,NA
"42","Congo, Rep.",-1.20567786693573,NA,NA,NA,NA,NA
"43","Cook Islands",-0.978229522705078,102.559166666667,NA,NA,NA,NA
"44","Colombia",-0.0504269637167454,48.9352941176471,13254.949,6.01240015029907,1893.60804195804,58.12
"45","Comoros",-1.80939316749573,30.7752,1413.89,4.28859996795654,NA,NA
"46","Cape Verde",0.0792631283402443,44.0395238095238,6222.554,NA,NA,NA
"47","Costa Rica",0.283398628234863,53.5957407407407,15524.995,7.0693998336792,99.3076923076923,57.0599866666667
"48","Cuba",-0.34895133972168,154.709086538461,NA,NA,NA,NA
"49","Cayman Islands",1.23643040657043,114.297604166667,49903.029,NA,NA,NA
"50","Cyprus",1.55788862705231,94.9411267605634,32415.132,6.22349977493286,NA,NA
"51","Czech Republic",0.922613501548767,NA,NA,6.96470022201538,NA,NA
"52","Germany",1.50013899803162,81.4764657534246,45229.245,7.1545000076294,3250.59259615388,75.5583333333333
"53","Djibouti",-0.981007635593414,3.46545454545455,2705.406,NA,NA,NA
"54","Dominica",0.674052000045776,46.3628813559322,9673.367,NA,NA,NA
"55","Denmark",2.10107469558716,86.9754716981132,46682.515,7.61950016021729,123.233704453441,75.5166666666667
"56","Dominican Republic",-0.63081967830658,81.0763396226415,14600.861,5.54510021209717,NA,NA
"57","Algeria",-0.520578742027283,20.6205,13913.839,4.88710021972656,NA,NA
"58","Ecuador",-0.527820348739624,60.3187537993921,10581.936,5.76399993896484,NA,NA
"59","Egypt, Arab Rep.",-0.440889060497284,NA,NA,NA,NA,NA
"60","Eritrea",-1.49212002754211,NA,1510.459,NA,NA,NA
"61","Spain",0.97240149974823,81.8260245901639,34272.36,6.49069976806641,989.223785425104,62.7416666666667
"62","Estonia",1.06727397441864,65.9088186813187,29481.252,6.18879985809326,48.6730769230769,73.9833333333333
"63","Ethiopia",-0.521041929721832,3.20751091703057,1729.927,4.27470016479492,NA,NA
"64","Finland",2.23519229888916,88.7835714285714,40585.721,7.84210014343262,126.312955465587,72.6416666666667
"65","Fiji",-0.898599445819855,72.8481081081081,8702.975,NA,NA,NA
